DATE,CASANM0URN
2018-05-01,1.9
2018-06-01,2.5
2018-07-01,2.4
2018-08-01,2.4
2018-09-01,2.1
2018-10-01,2.2
2018-11-01,2.1
2018-12-01,2.1
2019-01-01,2.5
2019-02-01,2.2
2019-03-01,2.3
2019-04-01,1.9
2019-05-01,1.8
2019-06-01,2.2
2019-07-01,2.3
2019-08-01,2.2
2019-09-01,1.9
2019-10-01,2.0
2019-11-01,2.0
2019-12-01,1.9
2020-01-01,2.2
2020-02-01,2.1
2020-03-01,3.1
2020-04-01,11.5
2020-05-01,11.7
2020-06-01,10.5
2020-07-01,9.6
2020-08-01,8.0
2020-09-01,7.5
2020-10-01,6.5
2020-11-01,6.2
2020-12-01,6.0
2021-01-01,6.0
2021-02-01,5.7
2021-03-01,5.5
2021-04-01,5.3
2021-05-01,4.8
2021-06-01,5.3
2021-07-01,4.9
2021-08-01,4.5
2021-09-01,3.7
2021-10-01,3.5
